country,date_posted,title,url,bdesc,crawl_time
USA,"31 Oct, 2025","RFQ for concealers in liquid, cream, and stick forms",https://www.tradewheel.com/buyers/rfq-for-concealers-in-liquid-cream-and-stick/894567/,"We are looking to source concealers in liquid, cream, and stick forms. Product specifications: Type: Liquid, cream, and stick Coverage: Full and buildable Shades: Wide range to suit all skin tones Ingredients: Hypoaller...",2025-11-01 16:15:43
USA,"31 Oct, 2025","RFQ for  Moisturizing, and Nourishing Face and Body Mask",https://www.tradewheel.com/buyers/rfq-for-moisturizing-and-nourishing-face-and/894565/,"We are looking to purchase a skincare product that functions as both a face and body mask. The product's primary features should include cleansing, moisturizing, nourishing properties, suitable for vegan, organic, fragrance-free, mineral, and paraben...",2025-11-01 16:15:43
USA,"31 Oct, 2025",RFQ for Acrylic Serving Tray,https://www.tradewheel.com/buyers/rfq-for-acrylic-serving-tray/894558/,"We are looking for 1,000 pieces of small acrylic dry fruit serving trays, size 6×6 inches with round edges. A reference picture is attached. Please share the information",2025-11-01 16:15:43
Italy,"31 Oct, 2025",RFQ for Ebike electric bike,https://www.tradewheel.com/buyers/rfq-for-ebike-electric-bike/894551/,"We are looking to purchase electric mountain bikes for personal and business use. These bikes should be durable, efficient, and suitable for various terrains.",2025-11-01 16:15:43
India,"31 Oct, 2025",Planning to import pipe bending machines – connect now,https://www.tradewheel.com/buyers/planning-to-import-pipe-bending-machines-connect/894547/,"Hello, We are looking to procure pipe bending machines. The equipment must ensure smooth operation, energy efficiency and long service life.",2025-11-01 16:15:43
Saudi Arabia,"31 Oct, 2025",Buying Cosmetic bags – MOQ 500+ units,https://www.tradewheel.com/buyers/buying-cosmetic-bags-moq-500-units/894540/,"We are looking to source cosmetic bags in a variety of styles, sizes, and materials for beauty, travel, and promotional purposes. Kindly stay in touch so we can take this forward smoothly.",2025-11-01 16:15:43
Slovakia,"31 Oct, 2025",Looking for COSMETICS PRODUCTS,https://www.tradewheel.com/buyers/looking-for-cosmetics-products/894537/,"Hello, I need Cosmetics products, Share Catalog",2025-11-01 16:15:43
Switzerland,"31 Oct, 2025",Need Prices For Linear Bearings for Order Planning and Budgeting,https://www.tradewheel.com/buyers/need-prices-for-linear-bearings-for-order-planning/894536/,"Hello, We are looking to purchase high-quality linear bearings for machinery and automation equipment. Kindly share your best prices, available sizes, and material specifications.",2025-11-01 16:15:43
USA,"31 Oct, 2025",Looking for truck tire competitive price,https://www.tradewheel.com/buyers/looking-for-truck-tire-competitive-price/894535/,"Greetings, We have an inquiry regarding terex tr45 haul truck tires, How much price of pair?",2025-11-01 16:15:43
Kenya,"31 Oct, 2025",Want to buy LED flashlight for project use,https://www.tradewheel.com/buyers/want-to-buy-led-flashlight-for-project-use/894534/,"Good day, I am searching for suppliers of LED flashlight for retail purpose, Please share product catalog, specification along with shipping charges.",2025-11-01 16:15:43
